hora,titulo,bajada
00:00,Vigilia de Medianoche,"Velad y orad para que no entréis en tentación - Mateo 26:41"
01:00,Comunión en el Silencio,"En el silencio de la noche, el Señor habla a nuestro corazón"
02:00,Intercesión por los Necesitados,"Orad sin cesar - 1 Tesalonicenses 5:17"
03:00,Adoración en la Madrugada,"De madrugada te buscaré, porque tú has sido mi socorro - Salmos 63:1"
04:00,Preparación del Espíritu,"Despierta, alma mía, despierta al alba para alabar al Señor"
05:00,Amanecer con Gratitud,"Este es el día que hizo el Señor; nos gozaremos y alegraremos en él - Salmos 118:24"
06:00,Bendición de la Mañana,"Por la mañana hazme oír tu misericordia, porque en ti he confiado - Salmos 143:8"
07:00,Fortaleza para el Día,"El Señor es mi fortaleza y mi escudo; en él confió mi corazón - Salmos 28:7"
08:00,Sabiduría en el Trabajo,"Si alguno de vosotros tiene falta de sabiduría, pídala a Dios - Santiago 1:5"
09:00,Guía Divina,"Encomienda al Señor tu camino, confía en él, y él hará - Salmos 37:5"
10:00,Paciencia y Perseverancia,"Los que esperan en el Señor tendrán nuevas fuerzas - Isaías 40:31"
11:00,Paz en Medio del Día,"La paz os dejo, mi paz os doy; yo no la doy como el mundo - Juan 14:27"
12:00,Mediodía de Reflexión,"Examíname, oh Dios, y conoce mi corazón; pruébame y conoce mis pensamientos - Salmos 139:23"
13:00,Renovación de Fuerzas,"Venid a mí todos los que estáis trabajados y cargados - Mateo 11:28"
14:00,Amor al Prójimo,"Amarás a tu prójimo como a ti mismo - Mateo 22:39"
15:00,Hora de la Misericordia,"Padre, perdónalos, porque no saben lo que hacen - Lucas 23:34"
16:00,Esperanza y Confianza,"Porque yo sé los planes que tengo para vosotros, dice el Señor - Jeremías 29:11"
17:00,Familia y Hogar,"En cuanto a mí y a mi casa, serviremos al Señor - Josué 24:15"
18:00,Atardecer de Alabanza,"Alabad al Señor, porque él es bueno; porque para siempre es su misericordia - Salmos 136:1"
19:00,Cena y Comunión,"Tomad, comed; esto es mi cuerpo - Mateo 26:26"
20:00,Perdón y Reconciliación,"Si confesamos nuestros pecados, él es fiel y justo para perdonar - 1 Juan 1:9"
21:00,Gratitud Vespertina,"Dad gracias en todo, porque esta es la voluntad de Dios - 1 Tesalonicenses 5:18"
22:00,Protección Nocturna,"El que habita al abrigo del Altísimo morará bajo la sombra del Omnipotente - Salmos 91:1"
23:00,Descanso en el Señor,"En paz me acostaré y así también dormiré, porque solo tú, Señor, me haces vivir confiado - Salmos 4:8"

